permno,adate,qdate,public_date,bm,TICKER
23660,2020/05/31,2020/05/31,2020/07/31,0.141,CTAS
23660,2020/05/31,2020/05/31,2020/08/31,0.141,CTAS
23660,2020/05/31,2020/05/31,2020/09/30,0.141,CTAS
23660,2020/05/31,2020/08/31,2020/10/31,0.115,CTAS
23660,2020/05/31,2020/08/31,2020/11/30,0.115,CTAS
23660,2020/05/31,2020/08/31,2020/12/31,0.115,CTAS
23660,2020/05/31,2020/11/30,2021/01/31,0.107,CTAS
23660,2020/05/31,2020/11/30,2021/02/28,0.107,CTAS
23660,2020/05/31,2020/11/30,2021/03/31,0.107,CTAS
23660,2020/05/31,2021/02/28,2021/04/30,0.123,CTAS
23660,2020/05/31,2021/02/28,2021/05/31,0.123,CTAS
23660,2020/05/31,2021/02/28,2021/06/30,0.123,CTAS
23660,2021/05/31,2021/05/31,2021/07/31,0.111,CTAS
23660,2021/05/31,2021/05/31,2021/08/31,0.111,CTAS
23660,2021/05/31,2021/05/31,2021/09/30,0.111,CTAS
23660,2021/05/31,2021/08/31,2021/10/31,0.091,CTAS
23660,2021/05/31,2021/08/31,2021/11/30,0.091,CTAS
23660,2021/05/31,2021/08/31,2021/12/31,0.091,CTAS
24109,2018/12/31,2019/09/30,2020/01/31,0.587,AEP
24109,2019/12/31,2019/12/31,2020/02/29,0.588,AEP
24109,2019/12/31,2019/12/31,2020/03/31,0.588,AEP
24109,2019/12/31,2019/12/31,2020/04/30,0.588,AEP
24109,2019/12/31,2020/03/31,2020/05/31,0.692,AEP
24109,2019/12/31,2020/03/31,2020/06/30,0.692,AEP
24109,2019/12/31,2020/03/31,2020/07/31,0.692,AEP
24109,2019/12/31,2020/06/30,2020/08/31,0.704,AEP
24109,2019/12/31,2020/06/30,2020/09/30,0.704,AEP
24109,2019/12/31,2020/06/30,2020/10/31,0.704,AEP
24109,2019/12/31,2020/09/30,2020/11/30,0.700,AEP
24109,2019/12/31,2020/09/30,2020/12/31,0.700,AEP
24109,2019/12/31,2020/09/30,2021/01/31,0.700,AEP
24109,2020/12/31,2020/12/31,2021/02/28,0.702,AEP
24109,2020/12/31,2020/12/31,2021/03/31,0.702,AEP
24109,2020/12/31,2020/12/31,2021/04/30,0.702,AEP
24109,2020/12/31,2021/03/31,2021/05/31,0.693,AEP
24109,2020/12/31,2021/03/31,2021/06/30,0.693,AEP
24109,2020/12/31,2021/03/31,2021/07/31,0.693,AEP
24109,2020/12/31,2021/06/30,2021/08/31,0.703,AEP
24109,2020/12/31,2021/06/30,2021/09/30,0.703,AEP
24109,2020/12/31,2021/06/30,2021/10/31,0.703,AEP
24109,2020/12/31,2021/09/30,2021/11/30,0.756,AEP
24109,2020/12/31,2021/09/30,2021/12/31,0.756,AEP
26607,2018/12/31,2019/09/30,2020/01/31,9.722,BH
26607,2019/12/31,2019/12/31,2020/02/29,9.437,BH
26607,2019/12/31,2019/12/31,2020/03/31,9.437,BH
26607,2019/12/31,2019/12/31,2020/04/30,9.437,BH
26607,2019/12/31,2020/03/31,2020/05/31,15.504,BH
26607,2019/12/31,2020/03/31,2020/06/30,15.504,BH
26607,2019/12/31,2020/03/31,2020/07/31,15.504,BH
26607,2019/12/31,2020/06/30,2020/08/31,12.871,BH
26607,2019/12/31,2020/06/30,2020/09/30,12.871,BH
26607,2019/12/31,2020/06/30,2020/10/31,12.871,BH
26607,2019/12/31,2020/09/30,2020/11/30,10.282,BH
26607,2019/12/31,2020/09/30,2020/12/31,10.282,BH
26607,2019/12/31,2020/09/30,2021/01/31,10.282,BH
26607,2020/12/31,2020/12/31,2021/02/28,8.778,BH
26607,2020/12/31,2020/12/31,2021/03/31,8.778,BH
26607,2020/12/31,2020/12/31,2021/04/30,8.778,BH
26607,2020/12/31,2021/03/31,2021/05/31,8.537,BH
26607,2020/12/31,2021/03/31,2021/06/30,8.537,BH
26607,2020/12/31,2021/03/31,2021/07/31,8.537,BH
26607,2020/12/31,2021/06/30,2021/08/31,6.810,BH
26607,2020/12/31,2021/06/30,2021/09/30,6.810,BH
26607,2020/12/31,2021/06/30,2021/10/31,6.810,BH
26607,2020/12/31,2021/09/30,2021/11/30,6.153,BH
26607,2020/12/31,2021/09/30,2021/12/31,6.153,BH
29946,2019/04/30,2019/10/31,2020/01/31,0.067,BF
29946,2019/04/30,2019/10/31,2020/02/29,0.067,BF
29946,2019/04/30,2020/01/31,2020/03/31,0.068,BF
29946,2019/04/30,2020/01/31,2020/04/30,0.068,BF
29946,2019/04/30,2020/01/31,2020/05/31,0.068,BF
29946,2020/04/30,2020/04/30,2020/06/30,0.072,BF
29946,2020/04/30,2020/04/30,2020/07/31,0.072,BF
29946,2020/04/30,2020/04/30,2020/08/31,0.072,BF
29946,2020/04/30,2020/07/31,2020/09/30,0.070,BF
29946,2020/04/30,2020/07/31,2020/10/31,0.070,BF
29946,2020/04/30,2020/07/31,2020/11/30,0.070,BF
29946,2020/04/30,2020/10/31,2020/12/31,0.076,BF
29946,2020/04/30,2020/10/31,2021/01/31,0.076,BF
29946,2020/04/30,2020/10/31,2021/02/28,0.076,BF
29946,2020/04/30,2021/01/31,2021/03/31,0.076,BF
29946,2020/04/30,2021/01/31,2021/04/30,0.076,BF
29946,2020/04/30,2021/01/31,2021/05/31,0.076,BF
29946,2021/04/30,2021/04/30,2021/06/30,0.077,BF
29946,2021/04/30,2021/04/30,2021/07/31,0.077,BF
29946,2021/04/30,2021/04/30,2021/08/31,0.077,BF
29946,2021/04/30,2021/07/31,2021/09/30,0.085,BF
29946,2021/04/30,2021/07/31,2021/10/31,0.085,BF
29946,2021/04/30,2021/07/31,2021/11/30,0.085,BF
29946,2021/04/30,2021/10/31,2021/12/31,0.095,BF
36003,2018/12/31,2019/09/30,2020/01/31,0.073,ROL
36003,2019/12/31,2019/12/31,2020/02/29,0.076,ROL
36003,2019/12/31,2019/12/31,2020/03/31,0.076,ROL
36003,2019/12/31,2019/12/31,2020/04/30,0.076,ROL
36003,2019/12/31,2020/03/31,2020/05/31,0.069,ROL
36003,2019/12/31,2020/03/31,2020/06/30,0.069,ROL
36003,2019/12/31,2020/03/31,2020/07/31,0.069,ROL
36003,2019/12/31,2020/06/30,2020/08/31,0.063,ROL
36003,2019/12/31,2020/06/30,2020/09/30,0.063,ROL
36003,2019/12/31,2020/06/30,2020/10/31,0.063,ROL
36003,2019/12/31,2020/09/30,2020/11/30,0.053,ROL
36003,2019/12/31,2020/09/30,2020/12/31,0.053,ROL
36003,2019/12/31,2020/09/30,2021/01/31,0.053,ROL
36003,2020/12/31,2020/12/31,2021/02/28,0.050,ROL
36003,2020/12/31,2020/12/31,2021/03/31,0.050,ROL
36003,2020/12/31,2020/12/31,2021/04/30,0.050,ROL
36003,2020/12/31,2021/03/31,2021/05/31,0.059,ROL
36003,2020/12/31,2021/03/31,2021/06/30,0.059,ROL
36003,2020/12/31,2021/03/31,2021/07/31,0.059,ROL
36003,2020/12/31,2021/06/30,2021/08/31,0.063,ROL
36003,2020/12/31,2021/06/30,2021/09/30,0.063,ROL
36003,2020/12/31,2021/06/30,2021/10/31,0.063,ROL
36003,2020/12/31,2021/09/30,2021/11/30,0.064,ROL
36003,2020/12/31,2021/09/30,2021/12/31,0.064,ROL
39642,2019/09/30,2019/09/30,2020/01/31,0.299,BDX
39642,2019/09/30,2019/12/31,2020/02/29,0.287,BDX
39642,2019/09/30,2019/12/31,2020/03/31,0.287,BDX
39642,2019/09/30,2019/12/31,2020/04/30,0.287,BDX
39642,2019/09/30,2020/03/31,2020/05/31,0.335,BDX
39642,2019/09/30,2020/03/31,2020/06/30,0.335,BDX
39642,2019/09/30,2020/03/31,2020/07/31,0.335,BDX
39642,2019/09/30,2020/06/30,2020/08/31,0.346,BDX
39642,2019/09/30,2020/06/30,2020/09/30,0.346,BDX
39642,2019/09/30,2020/06/30,2020/10/31,0.346,BDX
39642,2020/09/30,2020/09/30,2020/11/30,0.338,BDX
39642,2020/09/30,2020/09/30,2020/12/31,0.338,BDX
39642,2020/09/30,2020/09/30,2021/01/31,0.338,BDX
39642,2020/09/30,2020/12/31,2021/02/28,0.339,BDX
39642,2020/09/30,2020/12/31,2021/03/31,0.339,BDX
39642,2020/09/30,2020/12/31,2021/04/30,0.339,BDX
39642,2020/09/30,2021/03/31,2021/05/31,0.351,BDX
39642,2020/09/30,2021/03/31,2021/06/30,0.351,BDX
39642,2020/09/30,2021/03/31,2021/07/31,0.351,BDX
39642,2020/09/30,2021/06/30,2021/08/31,0.346,BDX
39642,2020/09/30,2021/06/30,2021/09/30,0.346,BDX
39642,2020/09/30,2021/06/30,2021/10/31,0.346,BDX
39642,2021/09/30,2021/09/30,2021/11/30,0.342,BDX
39642,2021/09/30,2021/09/30,2021/12/31,0.342,BDX
39693,2018/12/31,2019/09/30,2020/01/31,0.500,B
